epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,31704.8,2.0345,1.35253,0.00393,0.59347,0.54848,0.51654,0.26776,2.14205,1.46826,0.00482,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,32712.5,1.96959,1.38855,0.00397,0.58948,0.53952,0.5061,0.26334,2.18595,1.48655,0.00499,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,33752.8,1.96708,1.33223,0.00379,0.57236,0.51535,0.49079,0.25639,2.26997,1.49218,0.00506,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,34768.3,1.91928,1.30687,0.00381,0.60245,0.54667,0.51565,0.26323,2.17729,1.46142,0.00489,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,35789.5,1.92284,1.30644,0.00392,0.60558,0.54754,0.51192,0.26671,2.07752,1.47496,0.00468,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,36816.2,1.97727,1.31058,0.00375,0.58604,0.53434,0.49786,0.2617,2.15335,1.50742,0.00486,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,37871.1,1.96108,1.27301,0.00365,0.61894,0.53149,0.51593,0.28035,2.11696,1.49252,0.00477,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,38895,1.92112,1.31292,0.00379,0.61362,0.54901,0.52232,0.28174,2.09777,1.45236,0.00472,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,39921.5,1.97855,1.31153,0.00373,0.60062,0.56269,0.53281,0.27398,2.19888,1.43639,0.00481,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,40950.7,1.88253,1.29025,0.00367,0.57213,0.54915,0.51629,0.2607,2.28156,1.45887,0.00489,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,42006,1.91871,1.31233,0.00375,0.55507,0.56788,0.50366,0.25498,2.28276,1.46907,0.00486,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,43036.4,1.93358,1.26587,0.00364,0.61086,0.57227,0.53709,0.28939,2.05767,1.43063,0.00463,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,44058.9,1.86703,1.2588,0.00375,0.58467,0.55522,0.51567,0.26499,2.15975,1.44246,0.00473,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,45072.4,1.88763,1.31603,0.00372,0.59759,0.55488,0.51943,0.27087,2.13897,1.42168,0.00467,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,46124.7,1.8842,1.27551,0.00376,0.58947,0.592,0.54133,0.28634,2.10389,1.39781,0.00454,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,47157.8,1.99744,1.28844,0.00361,0.61459,0.55572,0.52924,0.28067,2.17566,1.43151,0.00473,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,48180.1,1.90174,1.23268,0.0036,0.61617,0.58791,0.55153,0.29273,2.09756,1.41098,0.00455,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,49202.6,1.8703,1.25277,0.00353,0.62914,0.58311,0.55758,0.29109,2.06465,1.42136,0.00453,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,50254.3,1.90269,1.26216,0.00349,0.64241,0.59941,0.575,0.30864,2.10654,1.37376,0.00453,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,51263.2,1.89911,1.27788,0.00367,0.64906,0.57602,0.55765,0.30574,2.08507,1.40131,0.00455,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,52285.5,1.83593,1.22842,0.00356,0.6138,0.56553,0.53557,0.28638,2.10981,1.42801,0.00465,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,53314,1.89806,1.20063,0.00351,0.63684,0.59226,0.56247,0.30108,2.05906,1.3882,0.0045,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
