epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8063.93,1.72081,1.18056,1.07898,0.59208,0.57771,0.5541,0.28812,1.78312,1.20861,1.08858,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,8319.63,1.69343,1.15528,1.07581,0.60806,0.5799,0.55897,0.28498,1.81406,1.21293,1.08727,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,8591.41,1.72755,1.15312,1.05418,0.62904,0.57759,0.57371,0.29641,1.80597,1.14436,1.08025,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,8849.48,1.72442,1.13428,1.06402,0.60712,0.54114,0.53579,0.25646,1.9152,1.22966,1.09225,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,9104.19,1.71921,1.13754,1.06504,0.63151,0.6053,0.57942,0.29895,1.79386,1.17011,1.08903,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,9366.47,1.68101,1.13815,1.06597,0.63108,0.60448,0.59229,0.30729,1.73122,1.15288,1.06871,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,9636.49,1.67085,1.11812,1.04418,0.62879,0.59253,0.58543,0.2906,1.82586,1.13249,1.07521,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,9893.17,1.67528,1.10622,1.06214,0.60557,0.5629,0.55764,0.28036,1.84015,1.17646,1.08707,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,10147.1,1.70995,1.10538,1.04054,0.62175,0.56736,0.57555,0.2941,1.82033,1.17033,1.08666,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,10397.4,1.64293,1.09005,1.06573,0.65522,0.62303,0.61833,0.3245,1.73431,1.09408,1.07513,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,10661.6,1.6648,1.07725,1.04662,0.64148,0.59785,0.59484,0.30359,1.80482,1.12658,1.07805,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,10915.6,1.68701,1.11348,1.05819,0.64455,0.60382,0.60136,0.31092,1.76196,1.1328,1.0722,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,11342.7,1.66689,1.09571,1.05309,0.59017,0.58895,0.5718,0.28275,1.83862,1.15821,1.08362,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,12268.2,1.66647,1.08141,1.05721,0.61522,0.5967,0.57173,0.28913,1.81598,1.14017,1.08238,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,13089.1,1.64793,1.06627,1.0408,0.63889,0.61356,0.60035,0.30973,1.74399,1.11364,1.07233,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,13469.8,1.6018,1.05044,1.05264,0.63637,0.60267,0.58589,0.29059,1.80894,1.14945,1.07553,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,13731.2,1.62615,1.05495,1.04081,0.6229,0.61556,0.58977,0.29375,1.8113,1.11934,1.07297,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,13994.7,1.65961,1.07794,1.03924,0.63756,0.61404,0.60802,0.31383,1.74541,1.11824,1.06649,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
