epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,441.085,3.92934,4.0332,2.39047,0.00852,0.08228,0.00613,0.00201,3.52292,3.6165,2.01371,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858,0.0008574,0.0002858
2,785.662,3.21038,2.90254,1.99697,0.24094,0.13605,0.09086,0.03633,3.08884,2.79361,1.71959,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009,0.00174027,0.00058009
3,1119.28,2.58993,2.13704,1.61802,0.30882,0.31986,0.22455,0.09449,2.66339,2.02539,1.43399,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438,0.00260531,0.000868438
4,1430.14,2.41004,1.81476,1.45102,0.31214,0.39503,0.28214,0.12488,2.44949,1.80979,1.31428,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084,0.00345253,0.00115084
5,1717.83,2.22647,1.69561,1.36801,0.23767,0.32927,0.21445,0.10047,2.47791,1.94188,1.33493,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241,0.00411723,0.00137241
6,2009.62,2.24142,1.63747,1.30062,0.38294,0.46104,0.35341,0.16292,2.21341,1.65224,1.22751,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,2300.3,2.06474,1.46912,1.23188,0.45788,0.4142,0.35452,0.17179,2.24325,1.54093,1.19837,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,2605.35,2.08459,1.45832,1.22292,0.51098,0.38174,0.33854,0.15869,2.34756,1.55336,1.21732,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,2894.06,1.97231,1.44791,1.21494,0.4528,0.43948,0.37151,0.17238,2.3358,1.53445,1.21982,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,3187.15,1.99134,1.41176,1.19163,0.50368,0.48507,0.41876,0.19642,2.1205,1.49325,1.17444,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,3485.19,1.96313,1.34778,1.16629,0.45339,0.47091,0.38646,0.17681,2.31946,1.58167,1.19846,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,3789.91,1.83671,1.32781,1.14068,0.53756,0.47342,0.42334,0.20494,2.12778,1.40057,1.16866,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,4080.63,1.84992,1.30765,1.14768,0.42978,0.41216,0.28575,0.12833,2.21677,1.64984,1.18238,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,4370.59,1.77518,1.2443,1.12245,0.46225,0.44288,0.35253,0.13976,2.40448,1.50574,1.18707,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,4659.98,1.82439,1.23693,1.12196,0.52964,0.49468,0.44753,0.19605,2.29687,1.34108,1.16891,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,4960.17,1.8395,1.27481,1.12638,0.53511,0.53466,0.48855,0.23371,2.05107,1.40564,1.12639,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,5254.15,1.74455,1.18428,1.10105,0.52453,0.49148,0.43257,0.20539,2.0752,1.38516,1.11741,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,5546.25,1.74967,1.20411,1.08869,0.53416,0.50785,0.45353,0.20759,2.24452,1.35089,1.15882,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
